blockid,dist2mid,rlmid_emp,rlmid_the,session_id,MDHM,Date,jul_day,Time,hour,dur_hr,treatment,species,num_idv,obs,foraging,block,block_ns,platform_bearing,platform_distance,tide_dist,tide_ht,fish,block_fac,x,y
1S,25,145.55271403066138,153.04119982655925,T016,8_16_14_28,2020-08-16,22,14:28:00,14,0.5,ON,HS,1,LB,0,1,S,NA,27,25,2.43,551,0,NA,NA
1S,25,145.55271403066138,153.04119982655925,T016,8_16_14_32,2020-08-16,22,14:32:00,14,0.5,ON,HS,1,LB,1,1,S,NA,36,35,2.47,551,0,NA,NA
1S,25,145.55271403066138,153.04119982655925,T021,8_17_12_34,2020-08-17,23,12:34:00,12,0.5,ON,HS,1,LB,0,1,S,216,34,33,0.45,281,0,-27.50657780874821,19.984698577944084
1S,25,145.55271403066138,153.04119982655925,C001,8_18_10_22,2020-08-18,24,10:22:00,10,0.5,ON,HS,1,LB,0,1,S,320,10,8,-0.53,239,0,7.660444431189779,6.427876096865396
1S,25,145.55271403066138,153.04119982655925,C003,8_18_11_39,2020-08-18,24,11:39:00,11,0.5,OFF,HS,1,LB,0,1,S,12,36,35,-0.55,239,0,35.213313626417005,-7.4848208694393366
1S,25,145.55271403066138,153.04119982655925,C003,8_18_11_45,2020-08-18,24,11:45:00,11,0.5,OFF,HS,2,LB,0,1,S,340,25,24,-0.52,239,0,23.49231551964771,8.550503583141714
1S,25,145.55271403066138,153.04119982655925,C004,8_18_13_43,2020-08-18,24,13:43:00,13,0.5,OFF,HS,1,LB,0,1,S,315,45,44,0.78,239,0,31.819805153394636,31.819805153394647
1S,25,145.55271403066138,153.04119982655925,C005,8_18_14_21,2020-08-18,24,14:21:00,14,0.5,OFF,HS,1,LB,0,1,S,350,28,27,1.34,239,0,27.574617084341824,4.862148974674051
1S,25,145.55271403066138,153.04119982655925,C005,8_18_14_32,2020-08-18,24,14:32:00,14,0.5,OFF,HS,2,LB,0,1,S,300,20,18,1.51,239,0,10,17.32050807568877
1S,25,145.55271403066138,153.04119982655925,C006,8_18_14_54,2020-08-18,24,14:54:00,14,0.5,OFF,HS,2,LB,0,1,S,350,41,40,1.84,239,0,40.37711787350053,7.119575284344146
1S,25,145.55271403066138,153.04119982655925,C006,8_18_14_57,2020-08-18,24,14:57:00,14,0.5,OFF,HS,2,LB,0,1,S,0,34,33,1.88,239,0,34,-0
1S,25,145.55271403066138,153.04119982655925,C008,8_19_9_40,2020-08-19,25,09:40:00,9,0.5,OFF,HS,2,LB,0,1,S,230,43,42,0.33,520,0,-27.639867216521203,32.93991105411605
1S,25,145.55271403066138,153.04119982655925,C008,8_19_9_55,2020-08-19,25,09:55:00,9,0.5,OFF,HS,1,LB,1,1,S,230,10,7,0.13,520,0,-6.427876096865396,7.660444431189779
1S,25,145.55271403066138,153.04119982655925,T027,8_19_11_12,2020-08-19,25,11:12:00,11,0.5,ON,HS,2,LB,0,1,S,239,31,30,-0.57,520,0,-15.96618032221169,26.572186321765475
1S,25,145.55271403066138,153.04119982655925,T029,8_19_13_5,2020-08-19,25,13:05:00,13,0.5,ON,SL,1,LB,0,1,S,230,44,44,-0.22,520,0,-28.282654826207743,33.705955497235024
1S,25,145.55271403066138,153.04119982655925,T030,8_19_13_54,2020-08-19,25,13:54:00,13,0.5,ON,HS,1,LB,0,1,S,200,10,7,0.37,520,0,-9.396926207859085,3.4202014332566866
1S,25,145.55271403066138,153.04119982655925,T031,8_19_14_35,2020-08-19,25,14:35:00,14,0.5,ON,HS,1,LB,0,1,S,350,43,42,0.98,520,0,42.34673337952494,7.466871639678007
1S,25,145.55271403066138,153.04119982655925,T031,8_19_14_57,2020-08-19,25,14:57:00,14,0.5,ON,HS,1,LB,0,1,S,40,38,37,1.32,520,0,29.10968883852117,-24.42592916808849
1S,25,145.55271403066138,153.04119982655925,T038,8_20_15_52,2020-08-20,26,15:52:00,15,0.5,ON,HS,1,LB,0,1,S,290,33,32,1.66,333,0,11.286664729747079,31.009856485934975
1S,25,145.55271403066138,153.04119982655925,T038,8_20_15_55,2020-08-20,26,15:55:00,15,0.5,ON,HS,3,LB,0,1,S,350,23,21,1.71,333,0,22.650578319280786,3.993908086339399
1S,25,145.55271403066138,153.04119982655925,T038,8_20_16_4,2020-08-20,26,16:04:00,16,0.5,ON,HS,1,LB,0,1,S,280,23,21,1.85,333,0,3.993908086339389,22.650578319280786
1S,25,145.55271403066138,153.04119982655925,T038,8_20_16_11,2020-08-20,26,16:11:00,16,0.5,ON,HS,2,LB,1,1,S,280,33,32,1.96,333,0,5.730389863008689,32.498655849402866
1S,25,145.55271403066138,153.04119982655925,T040,8_21_13_45,2020-08-21,27,13:45:00,13,0.5,ON,HS,1,LB,0,1,S,15,34,33,-0.18,585,0,32.84147809382832,-8.799847533485705
1S,25,145.55271403066138,153.04119982655925,C009,8_22_11_14,2020-08-22,28,11:14:00,11,0.5,ON,HS,1,AC,0,1,S,40,26,25,1.44,296,0,19.91715552109343,-16.71247785185002
1S,25,145.55271403066138,153.04119982655925,T041,8_24_13_39,2020-08-24,30,13:39:00,13,0.5,ON,HS,2,LB,0,1,S,295,40,39,1.67,248,0,16.904730469627985,36.252311481465995
1S,25,145.55271403066138,153.04119982655925,C016,9_2_10_22,2020-09-02,39,10:22:00,10,0.5,OFF,SL,1,AB,1,1,S,10,20,19,0.36,145,0,19.69615506024416,-3.4729635533386065
1S,25,145.55271403066138,153.04119982655925,C016,9_2_10_29,2020-09-02,39,10:29:00,10,0.5,OFF,SL,1,AB,0,1,S,267,15,13,0.3,145,0,-0.7850393436441646,14.979443021318607
1S,25,145.55271403066138,153.04119982655925,C016,9_2_10_31,2020-09-02,39,10:31:00,10,0.5,OFF,SL,1,AB,0,1,S,288,20,19,0.28,145,0,6.180339887498945,19.021130325903073
1S,25,145.55271403066138,153.04119982655925,C016,9_2_10_33,2020-09-02,39,10:33:00,10,0.5,OFF,SL,1,AB,0,1,S,14,17,15,0.27,145,0,16.49502734669194,-4.112672225194351
1S,25,145.55271403066138,153.04119982655925,C016,9_2_10_41,2020-09-02,39,10:41:00,10,0.5,OFF,HS,2,AB,0,1,S,307,40,39,0.21,145,0,24.07260092608192,31.945420401891727
1S,25,145.55271403066138,153.04119982655925,T044,9_2_12_41,2020-09-02,39,12:41:00,12,0.5,ON,HS,1,AB,0,1,S,335,36,35,0.14,145,0,32.6270803333194,15.21425742266517
1S,25,145.55271403066138,153.04119982655925,T047,9_2_15_32,2020-09-02,39,15:32:00,15,0.5,ON,HS,1,AB,0,1,S,NA,37,36,2.06,145,0,NA,NA
1S,25,145.55271403066138,153.04119982655925,T054,9_3_15_42,2020-09-03,40,15:42:00,15,0.5,ON,HS,1,AB,0,1,S,280,20,18,1.86,407,0,3.4729635533385994,19.696155060244163
1S,25,145.55271403066138,153.04119982655925,T054,9_3_16_10,2020-09-03,40,16:10:00,16,0.5,ON,HS,1,AB,0,1,S,60,5,7,2.21,407,0,2.5000000000000004,-4.330127018922193
1S,25,145.55271403066138,153.04119982655925,T057,9_4_13_11,2020-09-04,41,13:11:00,13,0.5,ON,HS,1,AB,0,1,S,310,20,19,0.43,195,0,12.855752193730785,15.320888862379562
1S,25,145.55271403066138,153.04119982655925,T057,9_4_13_31,2020-09-04,41,13:31:00,13,0.5,ON,HS,1,AB,0,1,S,335,20,19,0.48,195,0,18.126155740733,8.452365234813984
1S,25,145.55271403066138,153.04119982655925,T058,9_4_13_42,2020-09-04,41,13:42:00,13,0.5,ON,HS,1,AB,0,1,S,340,30,29,0.53,195,0,28.190778623577252,10.260604299770057
1S,25,145.55271403066138,153.04119982655925,T058,9_4_13_46,2020-09-04,41,13:46:00,13,0.5,ON,HS,1,AB,0,1,S,10,15,13,0.55,195,0,14.772116295183121,-2.6047226650039548
1S,25,145.55271403066138,153.04119982655925,T058,9_4_13_48,2020-09-04,41,13:48:00,13,0.5,ON,HS,1,AB,0,1,S,5,40,39,0.56,195,0,39.84778792366982,-3.4862297099063264
1S,25,145.55271403066138,153.04119982655925,T061,9_4_16_28,2020-09-04,41,16:28:00,16,0.5,ON,HS,1,AB,0,1,S,330,28,27,2.13,195,0,24.248711305964274,14.000000000000012
1S,25,145.55271403066138,153.04119982655925,T061,9_4_16_33,2020-09-04,41,16:33:00,16,0.5,ON,HS,2,AB,0,1,S,340,33,32,2.19,195,0,31.00985648593498,11.286664729747063
1S,25,145.55271403066138,153.04119982655925,T061,9_4_16_36,2020-09-04,41,16:36:00,16,0.5,ON,HS,1,AB,0,1,S,325,20,18,2.23,195,0,16.38304088577983,11.471528727020928
1S,25,145.55271403066138,153.04119982655925,T061,9_4_16_41,2020-09-04,41,16:41:00,16,0.5,ON,HS,1,AB,0,1,S,350,30,29,2.28,195,0,29.544232590366242,5.209445330007911
1S,25,145.55271403066138,153.04119982655925,T061,9_4_16_47,2020-09-04,41,16:47:00,16,0.5,ON,HS,1,AB,0,1,S,300,20,18,2.35,195,0,10,17.32050807568877
1S,25,145.55271403066138,153.04119982655925,C017,9_5_10_50,2020-09-05,42,10:50:00,10,0.5,OFF,SL,1,AB,0,1,S,295,18,16,1.69,65,0,7.607128711332593,16.313540166659696
1S,25,145.55271403066138,153.04119982655925,C018,9_5_11_7,2020-09-05,42,11:07:00,11,0.5,OFF,SL,1,AB,0,1,S,340,33,32,1.54,65,0,31.00985648593498,11.286664729747063
1S,25,145.55271403066138,153.04119982655925,C018,9_5_11_17,2020-09-05,42,11:17:00,11,0.5,OFF,SL,1,AB,0,1,S,0,20,18,1.45,65,0,20,-0
1S,25,145.55271403066138,153.04119982655925,C018,9_5_11_26,2020-09-05,42,11:26:00,11,0.5,OFF,SL,1,AB,0,1,S,350,27,26,1.36,65,0,26.589809331329615,4.68850079700712
1S,25,145.55271403066138,153.04119982655925,C019,9_5_11_59,2020-09-05,42,11:59:00,11,0.5,OFF,SL,1,AB,0,1,S,295,15,13,1.09,65,0,6.3392739261104945,13.594616805549748
1S,25,145.55271403066138,153.04119982655925,C019,9_5_12_13,2020-09-05,42,12:13:00,12,0.5,OFF,SL,1,AB,0,1,S,295,46,45,0.99,65,0,19.440440040072183,41.69015820368589
1S,25,145.55271403066138,153.04119982655925,C019,9_5_12_20,2020-09-05,42,12:20:00,12,0.5,OFF,SL,1,AB,0,1,S,290,11,8,0.95,65,0,3.7622215765823595,10.336618828644992
1S,25,145.55271403066138,153.04119982655925,C019,9_5_12_20,2020-09-05,42,12:20:00,12,0.5,OFF,SL,1,AB,0,1,S,0,15,13,0.95,65,0,15,-0
1S,25,145.55271403066138,153.04119982655925,C020,9_5_13_5,2020-09-05,42,13:05:00,13,0.5,OFF,SL,1,AB,0,1,S,290,15,13,0.75,65,0,5.130302149885035,14.095389311788624
1S,25,145.55271403066138,153.04119982655925,C020,9_5_13_10,2020-09-05,42,13:10:00,13,0.5,OFF,SL,1,AB,0,1,S,320,12,9,0.74,65,0,9.192533317427735,7.713451316238475
1S,25,145.55271403066138,153.04119982655925,C020,9_5_13_20,2020-09-05,42,13:20:00,13,0.5,OFF,SL,1,AB,0,1,S,335,15,13,0.72,65,0,13.594616805549752,6.339273926110487
1S,25,145.55271403066138,153.04119982655925,C020,9_5_13_22,2020-09-05,42,13:22:00,13,0.5,OFF,SL,1,AB,0,1,S,0,21,20,0.72,65,0,21,-0
1S,25,145.55271403066138,153.04119982655925,C021,9_5_14_7,2020-09-05,42,14:07:00,14,0.5,OFF,SL,1,AB,0,1,S,50,14,12,0.78,65,0,8.99902653561155,-10.724622203665692
1S,25,145.55271403066138,153.04119982655925,C022,9_5_14_44,2020-09-05,42,14:44:00,14,0.5,OFF,SL,1,AB,0,1,S,335,28,27,0.96,65,0,25.3766180370262,11.833311328739576
1S,25,145.55271403066138,153.04119982655925,C022,9_5_14_59,2020-09-05,42,14:59:00,14,0.5,OFF,SL,1,AB,0,1,S,300,15,13,1.07,65,0,7.5,12.990381056766578
1S,25,145.55271403066138,153.04119982655925,C023,9_5_15_26,2020-09-05,42,15:26:00,15,0.5,OFF,SL,1,AB,0,1,S,290,10,6,1.29,65,0,3.4202014332566906,9.396926207859083
1S,25,145.55271403066138,153.04119982655925,C023,9_5_15_40,2020-09-05,42,15:40:00,15,0.5,OFF,SL,1,AB,0,1,S,295,10,6,1.41,65,0,4.226182617406996,9.063077870366499
1S,25,145.55271403066138,153.04119982655925,C023,9_5_15_41,2020-09-05,42,15:41:00,15,0.5,OFF,SL,1,AB,0,1,S,40,13,10,1.42,65,0,9.958577760546715,-8.35623892592501
1S,25,145.55271403066138,153.04119982655925,C023,9_5_15_43,2020-09-05,42,15:43:00,15,0.5,OFF,HS,1,AB,0,1,S,325,23,21,1.44,65,0,18.840497018646808,13.192258036074067
1S,25,145.55271403066138,153.04119982655925,C023,9_5_15_49,2020-09-05,42,15:49:00,15,0.5,OFF,SL,1,AB,0,1,S,295,12,9,1.5,65,0,5.071419140888395,10.875693444439797
1S,25,145.55271403066138,153.04119982655925,C024,9_6_9_47,2020-09-06,43,09:47:00,9,0.5,OFF,SL,1,LB,0,1,S,338,10,4,2.58,164,0,9.271838545667872,3.746065934159123
1S,25,145.55271403066138,153.04119982655925,C024,9_6_9_53,2020-09-06,43,09:53:00,9,0.5,OFF,SL,1,LB,0,1,S,45,10,4,2.55,164,0,7.0710678118654755,-7.071067811865475
1S,25,145.55271403066138,153.04119982655925,C024,9_6_9_57,2020-09-06,43,09:57:00,9,0.5,OFF,SL,1,LB,0,1,S,310,20,18,2.52,164,0,12.855752193730785,15.320888862379562
1S,25,145.55271403066138,153.04119982655925,C024,9_6_10_5,2020-09-06,43,10:05:00,10,0.5,OFF,SL,1,LB,0,1,S,350,7,6,2.48,164,0,6.893654271085456,1.2155372436685128
1S,25,145.55271403066138,153.04119982655925,C024,9_6_10_10,2020-09-06,43,10:10:00,10,0.5,OFF,SL,1,LB,0,1,S,15,10,4,2.44,164,0,9.659258262890683,-2.5881904510252074
1S,25,145.55271403066138,153.04119982655925,C024,9_6_10_12,2020-09-06,43,10:12:00,10,0.5,OFF,SL,1,LB,0,1,S,325,7,6,2.43,164,0,5.734064310022941,4.015035054457325
1S,25,145.55271403066138,153.04119982655925,C024,9_6_10_14,2020-09-06,43,10:14:00,10,0.5,OFF,SL,1,LB,0,1,S,310,11,6,2.42,164,0,7.070663706551931,8.42648887430876
1S,25,145.55271403066138,153.04119982655925,T063,9_6_10_28,2020-09-06,43,10:28:00,10,0.5,ON,HS,1,LB,0,1,S,266,14,11,2.32,164,0,-0.9765906324177581,13.965896703637538
1S,25,145.55271403066138,153.04119982655925,T068,9_6_14_23,2020-09-06,43,14:23:00,14,0.5,ON,HS,1,LB,0,1,S,342,25,24,1.06,164,0,23.776412907378838,7.725424859373691
1S,25,145.55271403066138,153.04119982655925,T068,9_6_14_36,2020-09-06,43,14:36:00,14,0.5,ON,HS,1,LB,0,1,S,339,40,39,1.09,164,0,37.34321705988806,14.33471798181203
1S,25,145.55271403066138,153.04119982655925,T068,9_6_14_52,2020-09-06,43,14:52:00,14,0.5,ON,HS,1,LB,0,1,S,332,44,43,1.14,164,0,38.84969408579279,20.656748762579195
1S,25,145.55271403066138,153.04119982655925,T069,9_6_15_18,2020-09-06,43,15:18:00,15,0.5,ON,HS,1,LB,0,1,S,328,39,38,1.26,164,0,33.073875750100605,20.666851305094994
1S,25,145.55271403066138,153.04119982655925,T072,9_7_11_40,2020-09-07,44,11:40:00,11,0.5,ON,HS,1,AC,0,1,S,20,0.1,9,2.22,181,0,0.09396926207859085,-0.03420201433256687
1S,25,145.55271403066138,153.04119982655925,T073,9_7_12_46,2020-09-07,44,12:46:00,12,0.5,ON,HS,NA,AC,0,1,S,20,0.1,9,1.82,181,0,0.09396926207859085,-0.03420201433256687
1S,25,145.55271403066138,153.04119982655925,T073,9_7_12_52,2020-09-07,44,12:52:00,12,0.5,ON,HS,1,AC,0,1,S,317,29,28,1.79,181,0,21.20925734695595,19.77795244181245
1S,25,145.55271403066138,153.04119982655925,T074,9_7_13_4,2020-09-07,44,13:04:00,13,0.5,ON,HS,1,AC,0,1,S,330,23,21,1.72,181,0,19.918584287042084,11.50000000000001
1S,25,145.55271403066138,153.04119982655925,T074,9_7_13_6,2020-09-07,44,13:06:00,13,0.5,ON,HS,1,AC,0,1,S,331,28,27,1.71,181,0,24.489351799903083,13.574669366897432
1S,25,145.55271403066138,153.04119982655925,T074,9_7_13_17,2020-09-07,44,13:17:00,13,0.5,ON,HS,1,AC,0,1,S,330,33,32,1.65,181,0,28.578838324886465,16.500000000000014
1S,25,145.55271403066138,153.04119982655925,T074,9_7_13_22,2020-09-07,44,13:22:00,13,0.5,ON,HS,1,AC,0,1,S,57,2,8,1.63,181,0,1.0892780700300542,-1.677341135890848
1S,25,145.55271403066138,153.04119982655925,T074,9_7_13_27,2020-09-07,44,13:27:00,13,0.5,ON,HS,1,AC,0,1,S,278,3,8,1.6,181,0,0.41751930288019634,2.9708042062247113
1S,25,145.55271403066138,153.04119982655925,T074,9_7_13_28,2020-09-07,44,13:28:00,13,0.5,ON,HS,1,AC,0,1,S,301,7,5,1.6,181,0,3.6052665243703785,6.000171104914786
1S,25,145.55271403066138,153.04119982655925,T075,9_7_13_43,2020-09-07,44,13:43:00,13,0.5,ON,HS,1,AC,0,1,S,336,15,12,1.54,181,0,13.703181864639015,6.101049646137002
1S,25,145.55271403066138,153.04119982655925,T075,9_7_13_46,2020-09-07,44,13:46:00,13,0.5,ON,HS,1,AC,0,1,S,311,22,20,1.52,181,0,14.433298637791156,16.60361076490099
1S,25,145.55271403066138,153.04119982655925,T075,9_7_14_5,2020-09-07,44,14:05:00,14,0.5,ON,HS,1,AC,0,1,S,20,1,8,1.46,181,0,0.9396926207859084,-0.3420201433256687
1S,25,145.55271403066138,153.04119982655925,T076,9_7_14_29,2020-09-07,44,14:29:00,14,0.5,ON,HS,1,AC,0,1,S,20,2,8,1.42,181,0,1.8793852415718169,-0.6840402866513374
1S,25,145.55271403066138,153.04119982655925,C025,9_9_10_19,2020-09-09,46,10:19:00,10,0.5,ON,HS,1,AMB,0,1,S,357,25,23,2.67,270,0,24.965738368864347,1.3083989060736092
1S,25,145.55271403066138,153.04119982655925,C026,9_9_11_24,2020-09-09,46,11:24:00,11,0.5,OFF,HS,1,AMB,0,1,S,321,32,31,2.73,270,0,24.868670766623058,20.13825251359481
1S,25,145.55271403066138,153.04119982655925,C026,9_9_11_25,2020-09-09,46,11:25:00,11,0.5,OFF,HS,1,AMB,0,1,S,335,35,34,2.73,270,0,31.720772546282753,14.79163916092447
1S,25,145.55271403066138,153.04119982655925,C026,9_9_11_29,2020-09-09,46,11:29:00,11,0.5,OFF,HS,1,AMB,0,1,S,324,47,46,2.73,270,0,38.02379873562253,27.625906857746244
1S,25,145.55271403066138,153.04119982655925,C027,9_9_12_4,2020-09-09,46,12:04:00,12,0.5,OFF,HS,1,AB,0,1,S,335,34,33,2.69,270,0,30.8144647592461,14.369020899183772
1S,25,145.55271403066138,153.04119982655925,C027,9_9_12_6,2020-09-09,46,12:06:00,12,0.5,OFF,HS,1,AB,0,1,S,345,27,25,2.68,270,0,26.079997309804845,6.988114217768058
1S,25,145.55271403066138,153.04119982655925,C027,9_9_12_8,2020-09-09,46,12:08:00,12,0.5,OFF,HS,1,AB,0,1,S,330,25,23,2.68,270,0,21.65063509461096,12.50000000000001
1S,25,145.55271403066138,153.04119982655925,C027,9_9_12_22,2020-09-09,46,12:22:00,12,0.5,OFF,HS,2,AB,0,1,S,345,40,39,2.65,270,0,38.63703305156273,10.352761804100828
1S,25,145.55271403066138,153.04119982655925,C027,9_9_12_22,2020-09-09,46,12:22:00,12,0.5,OFF,SL,2,AB,0,1,S,345,40,39,2.65,270,0,38.63703305156273,10.352761804100828
1S,25,145.55271403066138,153.04119982655925,C028,9_9_12_54,2020-09-09,46,12:54:00,12,0.5,OFF,HS,1,AB,0,1,S,335,18,15,2.57,270,0,16.3135401666597,7.607128711332585
